w2clsids,schids,ctyids,tchids,w2tchstatus,w2tchsubject,w2tchhr,w2tcha0101,w2tcha0102,w2tcha0103,w2tcha0104,w2tcha0105,w2tcha0106,w2tcha0107,w2tcha0108,w2tcha0109,w2tcha0110,w2tcha02,w2tcha03,w2tcha04,w2tcha05,w2tcha06,w2tcha07,w2tcha08,w2tcha09,w2tcha10,w2tcha11,w2tcha1201,w2tcha1202,w2tcha1203,w2tcha1204,w2tcha1301,w2tcha1302,w2tcha1303,w2tcha1401,w2tcha1402,w2tcha1403,w2tcha1404,w2tcha1501,w2tcha1502,w2tcha1503,w2tcha1504,w2tcha1601,w2tcha1602,w2tcha1603,w2tcha1604,w2tcha1605,w2tcha1606,w2tcha1607,w2tcha1608,w2tcha1701,w2tcha1702,w2tcha1703,w2tcha1704,w2tcha1705,w2tcha1706,w2tcha1707,w2tcha1708,w2tcha1709,w2tcha1710,w2tcha18,w2tcha1901,w2tcha1902,w2tcha1903,w2tcha20a01,w2tcha20b01,w2tcha20c01,w2tcha20a02,w2tcha20b02,w2tcha20c02,w2tcha20a03,w2tcha20b03,w2tcha20c03,w2tcha21,w2tcha2201,w2tcha2202,w2tcha2203,w2tcha2204,w2tcha2205,w2tcha2206,w2tcha2207,w2tcha2301,w2tcha2302,w2tcha2303,w2tcha2304,w2tcha2305,w2tcha2306,w2tcha2307,w2tchb01,w2tchb0201,w2tchb0202,w2tchb0203,w2tchb0204,w2tchb0205,w2tchb0206,w2tchb0207,w2tchb03a01,w2tchb03b01,w2tchb03a02,w2tchb03b02,w2tchb03a03,w2tchb03b03,w2tchb03a04,w2tchb03b04,w2tchb03a05,w2tchb03b05,w2tchb04,w2tchb05,w2tchb06,w2tchb07,w2tchb08a,w2tchb08b,w2tchb0901,w2tchb0902,w2tchb0903,w2tchb10,w2tchb11,w2tchc01,w2tchc02,w2tchc03,w2tchc04,w2tchc05,w2tchc06,w2tchc07,w2tchc08,w2tchc09,w2tchc10a,w2tchc10b,w2tchc11,w2tchc11a,w2tchc12,w2tchc13,w2tchc14,w2tchc15a,w2tchc15b,w2tchc1601,w2tchc1602,w2tchc1603,w2tchc1604,w2tchc1605,w2tchc1701,w2tchc1702,w2tchc1703,w2tchc1704,w2tchc1705,w2tchc1706,w2tchc18,w2tchc19,w2tchc20,w2tchc21,w2tchc22,w2tchc23,w2tchc24,w2tchc25,w2tchc2601,w2tchc2602,w2tchc2603,w2tchc2604,w2tchc27,w2tchc28,w2tchc2901,w2tchc2902,w2tchc2903,w2tchc2904,w2tchc2905,w2tchc2906,w2tchc2907,w2tchc3001,w2tchc3002,w2tchc3003,w2tchc3004,w2tchc3005,w2tchc3006,w2tchc3007,w2tchc3101,w2tchc3102,w2tchc3103,w2tchc3104,w2tchc3105
1,1,1,6,1,2,1,0,1,0,0,0,0,0,0,0,0,2013,3,1,2,1,13,35,30,100,2,1,0,0,1,4,4,3,5,1,1,1,70,0,30,0,5,4,5,5,5,4,5,2,2,3,3,2,2,2,2,2,2,1,4,2,1,3,1,2,4,3,4,4,5,5,4,4,0,0,1,1,1,0,0,0,0,0,1,1,1,0,4,0,1,1,0,1,0,0,1,,1,,2,1,1,,,,2,1,1,2,1,,16,6,6,3,3,2,1986,2,7,1,1,3,3,2,2012,9,1,2013,2,0,2,2012,9,1,1,0,0,1,1,1,1,1,1,0,1,1,1,2,4,2,2,2,2,1,4,4,3,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
2,1,1,7,1,2,0,,,,,,,,,,,2014,2,2,2,1,12,12,20,50,1,1,0,0,1,4,3,3,4,2,2,3,85,0,10,5,5,3,5,4,4,5,4,3,2,3,3,3,3,2,2,1,,1,4,3,1,2,2,2,4,3,3,3,4,4,3,3,0,0,1,1,1,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1981,2,6,1,1,3,10,2,2013,9,1,2013,2,0,2,,,1,1,1,0,0,0,0,0,0,1,0,3,2,,2,3,1,2,2,3,4,4,3,4,4,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1
2,1,1,9,1,3,1,0,0,1,0,0,0,0,0,0,0,2013,3,4,2,1,10,10,10,50,2,0,0,0,1,4,4,4,5,4,2,1,70,5,15,10,4,4,4,4,4,4,4,2,2,3,3,3,2,3,3,2,3,2,4,3,3,3,4,4,4,4,4,4,2,3,4,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,5,0,1,1,0,1,1,0,2,1,2,1,2,1,1,1,,,4,1,1,1,1,,15,,16,3,4,2,1985,1,6,1,1,2,7,2,2013,8,1,2013,2,0,1,2008,9,1,1,1,0,0,0,0,1,1,1,0,1,4,2,3,2,2,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1
1,1,1,9,1,3,0,,,,,,,,,,,2014,1,3,2,1,10,10,10,50,2,0,0,0,1,4,4,4,5,4,2,1,70,5,15,10,4,4,4,4,4,4,4,2,2,3,3,3,2,3,3,2,3,2,4,3,3,3,4,4,4,4,4,4,2,3,4,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1985,1,6,1,1,2,7,2,2013,8,1,2013,2,0,1,,,1,1,1,0,0,0,0,1,1,1,0,3,4,,3,2,2,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1
5,2,1,13,1,1,0,,,,,,,,,,,2013,4,4,2,1,12,6,10,40,1,1,0,1,0,4,5,5,4,4,2,2,40,10,30,20,2,4,2,3,2,2,2,4,3,3,3,3,2,3,3,2,2,2,4,3,2,2,4,4,4,4,4,4,4,4,4,4,0,0,0,1,1,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1968,2,6,1,1,3,30,2,2010,9,1,2010,4,0,2,,,1,1,1,0,0,0,0,0,1,0,0,3,3,,3,3,2,3,3,2,3,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
6,2,1,14,1,1,1,1,0,0,0,0,0,0,0,0,0,2013,3,3,2,1,12,30,20,72,1,0,1,0,0,4,4,4,4,3,2,2,20,0,30,50,4,5,5,5,5,5,3,3,2,3,3,2,2,2,3,1,2,2,4,3,3,3,,,,4,4,4,,,,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,1,1,0,0,1,0,1,,1,,1,,1,,1,,4,1,1,2,2,,,,,3,3,2,1972,2,6,1,1,3,20,2,2010,8,1,2010,4,0,2,1995,9,1,1,1,0,0,0,0,0,1,1,0,1,2,1,3,4,2,1,2,,,,,4,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
6,2,1,18,1,2,0,,,,,,,,,,,2013,4,4,2,1,12,40,10,45,1,1,1,1,1,4,4,4,5,5,3,2,70,0,20,10,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5,3,3,2,5,5,4,5,5,4,5,5,4,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1970,2,6,1,1,2,22,1,2011,9,1,2011,4,0,2,,,1,1,1,0,0,0,0,1,1,1,0,2,5,,4,1,3,3,3,4,4,4,4,5,2,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1
5,2,1,19,1,2,0,,,,,,,,,,,2013,4,4,2,1,12,8,12,36,1,1,0,1,1,5,5,5,5,5,5,5,40,15,15,30,4,4,4,4,4,4,4,4,3,3,,2,3,3,2,2,3,3,,3,2,3,4,4,4,4,4,4,4,4,4,4,0,0,0,0,1,0,1,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1972,2,6,1,1,3,18,2,2008,9,1,2008,4,0,2,,,1,1,1,0,0,1,0,1,0,1,0,1,4,,4,2,3,3,3,5,5,5,5,5,5,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
5,2,1,21,1,3,1,0,0,1,0,0,0,0,0,0,0,,4,4,2,2,12,8,10,60,1,0,1,0,0,4,5,5,4,4,3,3,50,0,10,40,3,3,3,3,4,3,3,5,2,3,3,3,3,3,3,1,2,2,5,2,2,2,5,5,5,5,5,5,4,4,5,4,0,0,0,1,1,1,0,0,0,0,0,1,1,0,4,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,4,1,1,1,,50,27,0,13,3,3,2,1987,2,6,2,1,3,5,2,2013,9,1,2010,2,0,1,2013,9,1,1,1,0,0,0,0,0,1,0,0,3,4,4,3,2,3,3,3,3,5,5,5,5,4,,,,,,,,0,0,0,0,1,0,1,1,0,1,0,1
6,2,1,23,1,3,0,,,,,,,,,,,2013,3,3,2,1,12,10,15,42,1,0,1,0,0,4,4,4,4,4,4,4,80,5,10,5,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,2,2,5,3,3,3,1,1,1,1,1,1,1,1,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1974,2,6,1,1,3,21,2,2009,,1,2009,4,0,2,,,1,1,1,0,1,0,0,1,0,0,0,3,3,,4,2,2,2,2,3,3,3,4,5,4,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
9,3,1,25,1,0,1,0,0,0,0,0,0,0,1,0,0,2013,3,3,2,5,12,8,0,50,1,0,1,0,1,4,4,4,5,3,3,3,85,,15,,3,3,3,2,2,1,4,4,3,3,2,2,2,2,2,1,2,1,5,3,2,1,4,3,3,3,3,3,3,3,4,4,0,0,0,1,1,1,0,0,0,1,1,1,0,0,4,0,1,1,0,0,1,0,1,,1,,1,,1,,,,4,1,1,2,1,30,1,,20,3,3,2,1990,1,6,1,1,3,3,1,2012,9,1,2013,2,0,2,2012,9,1,1,0,0,0,0,0,0,0,0,1,3,4,5,3,1,3,2,2,4,4,4,2,4,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
9,3,1,27,1,1,0,,,,,,,,,,,2014,4,3,2,2,5,10,10,60,1,1,1,0,0,4,4,4,4,4,4,2,60,0,20,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,4,3,5,3,3,5,3,3,5,4,0,0,1,1,1,1,0,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1984,2,6,1,1,2,8,1,2007,7,1,2007,3,3,2,,,1,1,1,0,0,0,0,0,1,0,0,1,2,,4,3,3,3,3,1,4,4,2,3,2,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1
